id,@id,addr:city,addr:housenumber,addr:postcode,addr:street,alt_name,amenity,bench,bin,brand,brand:wikidata,bus,bus_stop,check_date:bin,check_date:lit,check_date:shelter,check_date:tactile_paving,covered,departures_board,description,former_name,highway,kerb,kerb:approach_aid,layer,level,lit,local_ref,material,name,name:en,name:es,network,network:short,network:wikidata,network:wikipedia,not:network:wikidata,note,opening_hours:covid19,operator,operator:short,operator:wikidata,operator:wikipedia,passenger_information_display,phone,public_transport,public_transport:version,ref,ref:signed,route,route_ref,seats,shade,shelter,source,source_ref,stop_id,surface,tactile_paving,towards,type,website,wheelchair,wheelchair:description,wikidata,wikipedia
node/8181470180,node/8181470180,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Rossmore,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8181470181,node/8181470181,,,,,,,yes,no,,,yes,,,,,,,,,,bus_stop,,,,,no,,,3rd & Rossmore,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,"15653",,,,,,no,,,,,no,,,,,,,
node/8181470182,node/8181470182,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Larchmont,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470183,node/8181470183,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Larchmont,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470184,node/8181470184,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Lorraine,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470185,node/8181470185,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Lorraine,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470186,node/8181470186,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Norton,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470187,node/8181470187,,,,,,,yes,no,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Norton,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,no,,,,,,,
node/8181470188,node/8181470188,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Wilton,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181470189,node/8181470189,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Wilton,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8181470190,node/8181470190,,,,,,,yes,yes,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & St Andrews,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,no,,,,,,,
node/8181470191,node/8181470191,,,,,,,yes,yes,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & St Andrews,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,no,,,,,,,
node/8181470192,node/8181470192,,,,,,,yes,yes,,,yes,,,,,,,,,,bus_stop,,,,,,,,3rd & Western,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,no,,,,,,,
node/8181480727,node/8181480727,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & 23rd,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480728,node/8181480728,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & 23rd,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480729,node/8181480729,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & Washington,,,Metro Local,,Q77610,,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8181480730,node/8181480730,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & Washington,,,Metro Local,,Q77610,,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480731,node/8181480731,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & St Charles,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480732,node/8181480732,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & St Charles,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480733,node/8181480733,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & Venice,,,"Metro Local;Metro Rapid",,,,,,,Metro,,,,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8181480734,node/8181480734,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Crenshaw & Venice,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636275,node/8185636275,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Rossmore & Beverly,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636276,node/8185636276,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Rossmore & Rosewood,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636277,node/8185636277,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Rossmore & Rosewood,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8185636279,node/8185636279,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Willoughby,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636280,node/8185636280,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Willoughby,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636281,node/8185636281,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Santa Monica,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8185636282,node/8185636282,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Santa Monica,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8185636283,node/8185636283,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Lexington,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,yes,,,,,,,,,,,,
node/8185636284,node/8185636284,,,,,,,no,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Lexington,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
node/8185636285,node/8185636285,,,,,,,yes,,,,yes,,,,,,,,,,bus_stop,,,,,,,,Vine & Fountain,,,Metro Local,,Q77610,en:Metro Local,,,,Los Angeles County Metropolitan Transportation Authority,,Q3259702,en:Los Angeles County Metropolitan Transportation Authority,,,platform,,,,,,,,no,,,,,,,,,,,,
